device,model,task,image,resolution,experiment,metric,value,n_iters,measured_at
cuda,yolo-world,detection,set,1280,cold_start,first_call_ms,3884.595038999919,1,2026-06-30
cuda,yolo-world,detection,set,1280,warm_latency,mean_ms,70.05060384000672,50,2026-06-30
cuda,yolo-world,detection,set,1280,warm_latency,median_ms,68.46928250001838,50,2026-06-30
cuda,yolo-world,detection,set,1280,warm_latency,std_ms,4.70471903389385,50,2026-06-30
cuda,yolo-world,detection,set,1280,throughput,imgs_per_sec,14.275394431773455,50,2026-06-30
cuda,yolo-world,detection,set,1280,peak_gpu,gpu_mem_mb,1059.54833984375,1,2026-06-30
cuda,mask2former,segmentation,set,320,cold_start,first_call_ms,8440.473093000037,1,2026-06-30
cuda,mask2former,segmentation,set,320,warm_latency,mean_ms,119.92259593999961,50,2026-06-30
cuda,mask2former,segmentation,set,320,warm_latency,median_ms,115.36896950002529,50,2026-06-30
cuda,mask2former,segmentation,set,320,warm_latency,std_ms,15.853992472841508,50,2026-06-30
cuda,mask2former,segmentation,set,320,throughput,imgs_per_sec,8.338712084754453,50,2026-06-30
cuda,mask2former,segmentation,set,320,peak_gpu,gpu_mem_mb,1272.4609375,1,2026-06-30
cuda,mask2former,segmentation,set,640,cold_start,first_call_ms,1403.9809299999888,1,2026-06-30
cuda,mask2former,segmentation,set,640,warm_latency,mean_ms,129.5173603799958,50,2026-06-30
cuda,mask2former,segmentation,set,640,warm_latency,median_ms,128.56041099996673,50,2026-06-30
cuda,mask2former,segmentation,set,640,warm_latency,std_ms,6.407051129174923,50,2026-06-30
cuda,mask2former,segmentation,set,640,throughput,imgs_per_sec,7.720972671663959,50,2026-06-30
cuda,mask2former,segmentation,set,640,peak_gpu,gpu_mem_mb,1365.0029296875,1,2026-06-30
cuda,mask2former,segmentation,set,960,cold_start,first_call_ms,1437.726770999916,1,2026-06-30
cuda,mask2former,segmentation,set,960,warm_latency,mean_ms,165.51776194000468,50,2026-06-30
cuda,mask2former,segmentation,set,960,warm_latency,median_ms,150.8444164999787,50,2026-06-30
cuda,mask2former,segmentation,set,960,warm_latency,std_ms,30.456853911099554,50,2026-06-30
cuda,mask2former,segmentation,set,960,throughput,imgs_per_sec,6.041647665357333,50,2026-06-30
cuda,mask2former,segmentation,set,960,peak_gpu,gpu_mem_mb,1496.92919921875,1,2026-06-30
cuda,mask2former,segmentation,set,1280,cold_start,first_call_ms,1513.0355139999665,1,2026-06-30
cuda,mask2former,segmentation,set,1280,warm_latency,mean_ms,181.65639845999976,50,2026-06-30
cuda,mask2former,segmentation,set,1280,warm_latency,median_ms,164.81271049997304,50,2026-06-30
cuda,mask2former,segmentation,set,1280,warm_latency,std_ms,38.019778448477524,50,2026-06-30
cuda,mask2former,segmentation,set,1280,throughput,imgs_per_sec,5.504898305138408,50,2026-06-30
cuda,mask2former,segmentation,set,1280,peak_gpu,gpu_mem_mb,1681.43310546875,1,2026-06-30
