device,model,task,image_id,latency_ms,resolution,measured_at
cpu,yolo11n-seg,segmentation,000000000192,345.9554339933675,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000194,262.0112459990196,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000196,774.2710470047314,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000201,397.17759599443525,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000208,339.955772011308,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000241,432.82409801031463,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000247,482.8173239948228,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000250,256.8361349985935,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000257,494.69800599035807,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000260,359.41887699300423,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000263,233.48570702364668,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000283,313.94180600182153,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000294,359.47091900743544,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000307,265.06647499627434,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000308,336.10697998665273,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000309,446.1434339755215,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000312,283.8856960006524,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000315,519.3272229807917,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000321,346.9406359945424,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000322,553.4244129958097,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000326,439.336176001234,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000328,279.0315379970707,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000332,622.4646260088775,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000338,259.0264169848524,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000349,312.7315820020158,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000357,334.2858219984919,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000359,287.87311099586077,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000360,234.24946799059398,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000368,492.9441249987576,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000370,279.8922689980827,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000382,397.70748498267494,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000384,395.6777169951238,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000387,234.9724280065857,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000389,340.83494101651013,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000394,347.19306000624783,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000395,378.7777649995405,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000397,316.54701801016927,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000400,346.6914820019156,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000404,275.6191809894517,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000415,300.7187379989773,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000419,366.14193601417355,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000428,273.13842298462987,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000431,219.8370980040636,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000436,375.8628880023025,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000438,500.8132270013448,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000443,416.5895369951613,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000446,358.34754101233557,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000450,236.2110129906796,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000459,300.03888098872267,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000471,301.93155698361807,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000472,260.73250398621894,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000474,209.83390999026597,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000486,322.8945790033322,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000488,435.7181529921945,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000490,212.80983998440206,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000491,332.3204120097216,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000502,407.2107420070097,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000508,186.8968449998647,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000510,283.9150560030248,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000514,305.32254101126455,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000520,393.377928994596,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000529,394.387763022678,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000531,417.0584559906274,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000532,236.84467500424944,640,2026-07-01
cpu,yolo11n-seg,segmentation,000000000536,357.4633219977841,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000009,5930.248191027204,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000025,5975.512354983948,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000030,6064.584433013806,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000034,5571.294105000561,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000036,6504.904760979116,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000042,5947.692993009696,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000049,6991.897386993514,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000061,6746.931166009745,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000064,5616.059596999548,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000071,6535.585415986134,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000072,6785.660249995999,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000073,6313.045887014596,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000074,5791.536258999258,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000077,5829.002112004673,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000078,5795.507383998483,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000081,5651.260070007993,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000086,5536.575874022674,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000089,5845.68646500702,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000092,5832.771121989936,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000094,5880.52671100013,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000109,5839.618866011733,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000110,5570.60226201429,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000113,5965.417739003897,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000127,5859.506769018481,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000133,5567.909703007899,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000136,5945.697521994589,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000138,5916.907375998562,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000142,5786.5444690105505,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000143,5719.917209993582,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000144,5912.948869023239,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000149,5560.370705003152,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000151,6502.237047010567,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000154,6120.713819022058,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000164,5697.76848499896,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000165,5724.479406984756,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000192,5576.068952999776,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000194,5662.007382023148,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000196,6060.850823996589,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000201,5813.824897981249,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000208,5999.846013990464,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000241,6075.974559993483,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000247,5848.725852993084,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000250,6328.161011013435,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000257,5796.554239001125,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000260,5955.637997016311,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000263,6059.171569999307,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000283,6007.803232001606,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000294,6155.528544011759,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000307,5870.106749993283,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000308,6066.833166987635,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000309,5791.847871005302,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000312,6016.714850993594,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000315,6475.555993994931,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000321,5972.914157988271,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000322,5992.071488988586,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000326,5815.9700380056165,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000328,5869.676267000614,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000332,5951.550582016353,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000338,5637.783671001671,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000349,6422.608711000066,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000357,5852.536844991846,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000359,5619.984368997393,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000360,6153.346078004688,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000368,6313.336901977891,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000370,6090.334414009703,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000382,6047.915475006448,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000384,5801.036552002188,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000387,6105.0868809979875,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000389,6019.170688989107,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000394,5863.8765619834885,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000395,5824.891324999044,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000397,5707.138028985355,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000400,5903.652759006945,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000404,5862.473335990217,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000415,5818.897110992111,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000419,6037.89087801124,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000428,5842.694910010323,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000431,6002.43181901169,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000436,6034.69728899654,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000438,6352.457433997188,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000443,6793.6653929937165,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000446,6289.674154977547,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000450,6103.224771999521,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000459,5929.091658006655,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000471,6001.187118992675,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000472,5959.8479729902465,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000474,7189.017481985502,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000486,7790.288915013662,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000488,7573.575371992774,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000490,8048.305589996744,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000491,8084.484275983414,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000502,8694.70194898895,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000508,7636.441842972999,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000510,8666.591129993321,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000514,7305.32815301558,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000520,8183.966354990844,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000529,8334.523767000064,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000531,7563.377549988218,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000532,6771.353559015552,640,2026-07-01
cpu,sam2-tiny,segmentation,000000000536,5907.388931984315,640,2026-07-01
cpu,rfdetr-nano,detection,000000000009,643.7667970021721,640,2026-07-01
cpu,rfdetr-nano,detection,000000000025,668.1975249957759,640,2026-07-01
cpu,rfdetr-nano,detection,000000000030,589.0793510188814,640,2026-07-01
cpu,rfdetr-nano,detection,000000000034,537.6636189757846,640,2026-07-01
cpu,rfdetr-nano,detection,000000000036,707.4158689938486,640,2026-07-01
cpu,rfdetr-nano,detection,000000000042,579.0392359776888,640,2026-07-01
cpu,rfdetr-nano,detection,000000000049,728.125295980135,640,2026-07-01
cpu,rfdetr-nano,detection,000000000061,772.5206650211476,640,2026-07-01
cpu,rfdetr-nano,detection,000000000064,698.9832799881697,640,2026-07-01
cpu,rfdetr-nano,detection,000000000071,690.5476899992209,640,2026-07-01
cpu,rfdetr-nano,detection,000000000072,738.7505399819929,640,2026-07-01
cpu,rfdetr-nano,detection,000000000073,771.6051839815918,640,2026-07-01
cpu,rfdetr-nano,detection,000000000074,611.0713999951258,640,2026-07-01
cpu,rfdetr-nano,detection,000000000077,634.3000049819238,640,2026-07-01
cpu,rfdetr-nano,detection,000000000078,699.9164159933571,640,2026-07-01
cpu,rfdetr-nano,detection,000000000081,546.1464690160938,640,2026-07-01
cpu,rfdetr-nano,detection,000000000086,661.148001003312,640,2026-07-01
cpu,rfdetr-nano,detection,000000000089,553.8039229868446,640,2026-07-01
cpu,rfdetr-nano,detection,000000000092,680.9870440047234,640,2026-07-01
cpu,rfdetr-nano,detection,000000000094,764.380106003955,640,2026-07-01
cpu,rfdetr-nano,detection,000000000109,614.7477630001958,640,2026-07-01
cpu,rfdetr-nano,detection,000000000110,648.1960980163421,640,2026-07-01
cpu,rfdetr-nano,detection,000000000113,726.5296800178476,640,2026-07-01
cpu,rfdetr-nano,detection,000000000127,627.1641050116159,640,2026-07-01
cpu,rfdetr-nano,detection,000000000133,559.4587720115669,640,2026-07-01
cpu,rfdetr-nano,detection,000000000136,651.6553300025407,640,2026-07-01
cpu,rfdetr-nano,detection,000000000138,569.4394489983097,640,2026-07-01
cpu,rfdetr-nano,detection,000000000142,635.6613579846453,640,2026-07-01
cpu,rfdetr-nano,detection,000000000143,577.1677349985112,640,2026-07-01
cpu,rfdetr-nano,detection,000000000144,694.6605539997108,640,2026-07-01
cpu,rfdetr-nano,detection,000000000149,682.329306990141,640,2026-07-01
cpu,rfdetr-nano,detection,000000000151,527.92247798061,640,2026-07-01
cpu,rfdetr-nano,detection,000000000154,622.0993809984066,640,2026-07-01
cpu,rfdetr-nano,detection,000000000164,733.2760560093448,640,2026-07-01
cpu,rfdetr-nano,detection,000000000165,554.5016420073807,640,2026-07-01
cpu,rfdetr-nano,detection,000000000192,620.1104450155981,640,2026-07-01
cpu,rfdetr-nano,detection,000000000194,613.1898530002218,640,2026-07-01
cpu,rfdetr-nano,detection,000000000196,586.9648270017933,640,2026-07-01
cpu,rfdetr-nano,detection,000000000201,686.0740179836284,640,2026-07-01
cpu,rfdetr-nano,detection,000000000208,548.1398769770749,640,2026-07-01
cpu,rfdetr-nano,detection,000000000241,668.4888119925745,640,2026-07-01
cpu,rfdetr-nano,detection,000000000247,633.8076810061466,640,2026-07-01
cpu,rfdetr-nano,detection,000000000250,553.3942529873457,640,2026-07-01
cpu,rfdetr-nano,detection,000000000257,665.2589120203629,640,2026-07-01
cpu,rfdetr-nano,detection,000000000260,593.3606550097466,640,2026-07-01
cpu,rfdetr-nano,detection,000000000263,625.2986759936903,640,2026-07-01
cpu,rfdetr-nano,detection,000000000283,726.4382549910806,640,2026-07-01
cpu,rfdetr-nano,detection,000000000294,636.3862130092457,640,2026-07-01
cpu,rfdetr-nano,detection,000000000307,752.4647329992149,640,2026-07-01
cpu,rfdetr-nano,detection,000000000308,662.6044770237058,640,2026-07-01
